BITS,ITERATIONS,COMPUTATION,VERIFICATION
512,0,0.013646919559687377,0.01129456689581275
512,1280,0.12529760599136353,0.01058277189731598
512,2560,0.250452197343111,0.022052150750532747
512,3840,0.3541097378358245,0.010397797459736466
512,5120,0.4670437390450388,0.013615452283993364
512,6400,0.5767650640569627,0.009462083401158452
512,7680,0.6963629305362702,0.01564718528650701
512,8960,0.8201320172287524,0.0221000518463552
512,10240,0.9248320533894002,0.007818993730470538
512,11520,1.0625236043706536,0.01760625249706209
512,12800,1.1554431206081062,0.012588297575712204
512,14080,1.2630432554055004,0.015101750334724783
512,15360,1.3879370430484415,0.01129668090492487
512,16640,1.5020217982120811,0.015130785033106805
512,17920,1.6234344015829265,0.0200266233086586
512,19200,1.7587506855838,0.02239314283244312
512,20480,1.8767103655729442,0.019542219340801237
512,21760,1.959153137402609,0.021483225459232928
512,23040,2.070028582541272,0.030134805580601096
512,24320,2.185476302821189,0.016525027360767126
512,25600,2.33941256897524,0.015117489844560622
512,26880,2.401989371748641,0.017207340793684123
512,28160,2.5251220191363246,0.018372445637360214
512,29440,2.65526385223493,0.019619420152157546
512,30720,2.758006918989122,0.02168424416333437
512,32000,2.8755847468040883,0.01796262212097645
512,33280,3.0427203648258,0.022577602583914995
512,34560,3.101594906952232,0.0208174926135689
512,35840,3.228151617804542,0.024080590568482874
512,37120,3.3416220940183847,0.02289496106095612
512,38400,3.4587494609411804,0.02970505414530635
512,39680,3.54425361729227,0.022057632813230157
512,40960,3.663576899887994,0.021500490764155986
1024,0,0.08356341756880284,0.08438799529336392
1024,1280,0.8546591652557254,0.10203669079579412
1024,2560,1.5433699856046588,0.036576726222410795
1024,3840,2.364466048590839,0.07357791665941477
1024,5120,3.191023292625323,0.12323798405006528
1024,6400,3.8617036833893508,0.10011733579449356
1024,7680,4.679074491839856,0.17172062118537723
1024,8960,5.366917188605294,0.08021446663886309
1024,10240,6.129773853579536,0.09825770102441311
1024,11520,6.9866240243427455,0.1063982723467052
1024,12800,7.590629715984687,0.09304103868082166
1024,14080,8.350053490744903,0.07172305965796114
1024,15360,9.139992778422311,0.11115154135040939
1024,16640,9.931795840663835,0.10245307841338218
1024,17920,10.631381937861443,0.08849517181515694
1024,19200,11.413437670329586,0.10813675057142973
1024,20480,12.09360104026273,0.07570616384036839
1024,21760,12.862285000132397,0.11980705797672271
1024,23040,13.623200943134725,0.0894140803348273
1024,24320,14.415712652634829,0.17078607553616165
1024,25600,15.192895343760028,0.16879698597826065
1024,26880,16.222527605621146,0.18283831669017672
1024,28160,16.7632968198508,0.13114988937973976
1024,29440,17.406168873002752,0.1270630477927625
1024,30720,18.121558528766037,0.0713185307290405
1024,32000,18.894143886771054,0.13067246405407787
1024,33280,19.949952686205506,0.052231738492846486
1024,34560,20.75357077862136,0.10763266852125525
1024,35840,21.237860241159797,0.1860634479485452
1024,37120,21.993933850806208,0.1021375223249197
1024,38400,22.74557411344722,0.10806987977586686
1024,39680,23.64274391797371,0.15820763288065792
1024,40960,24.20546943238005,0.11810126286000014
1536,0,0.2740862833801657,0.26409105730243027
1536,1280,2.6853586583398283,0.27031788187101485
1536,2560,5.269839631393552,0.4237245805840939
1536,3840,7.5221252566669135,0.2584555572923273
1536,5120,10.095887676393613,0.4075804203096777
1536,6400,12.435927635524422,0.3557198205124587
1536,7680,14.965759326564148,0.44328107428736985
1536,8960,17.29580930136144,0.36707541668787597
1536,10240,19.715528677636758,0.3480134944524616
1536,11520,21.95739152985625,0.23962215051054955
1536,12800,24.949059006990865,0.41254098193719985
1536,14080,26.85142181003466,0.2875861601252109
1536,15360,29.502332046255468,0.2574169757962227
1536,16640,32.41588689181954,0.5082131322473288
1536,17920,34.86253266199492,0.5243033335916698
1536,19200,36.98561585647985,0.575118779912591
1536,20480,39.26376938344911,0.5276976110227406
1536,21760,42.34868512675166,0.586551854107529
1536,23040,43.84509889101609,0.42312056965194644
1536,24320,46.146362943388525,0.23082377763465048
1536,25600,49.04210817385465,0.6684098955709488
1536,26880,51.018563529662785,0.26033046235330404
1536,28160,54.34627062561922,0.4149689264781773
1536,29440,56.10271875956096,0.45996481508016585
1536,30720,58.11603939216584,0.2821897588018328
1536,32000,60.73248078417964,0.347781305257231
1536,33280,63.344687927421184,0.4809940953180194
1536,34560,65.52664221622982,0.4023443006630987
1536,35840,67.80491793956608,0.24006965334527194
1536,37120,70.65458124517463,0.4399430319946259
1536,38400,73.39247503024527,0.7929233388137072
1536,39680,75.31013666004874,0.2900354790966958
1536,40960,77.77405821178108,0.5835730879940093
2048,0,0.9423109621740877,0.9440458262618631
2048,1280,6.421012145839631,0.8849228742532432
2048,2560,12.988958765380085,1.924315782263875
2048,3840,17.340232870401813,0.7929799222107977
2048,5120,22.912328674132006,0.8000225992221385
2048,6400,30.110958196269348,2.1479093588050455
2048,7680,34.46418722760863,0.8872044117003679
2048,8960,40.43565271538682,1.245122737698257
2048,10240,46.26316081979312,0.7374368355795741
2048,11520,51.23101818957366,1.393785880850628
2048,12800,56.370969392266126,0.43054630994796755
2048,14080,62.26263823062182,1.427964233495295
2048,15360,67.07360476534814,0.9196780190803111
2048,16640,72.57893270826898,0.7672743480559439
2048,17920,79.78848083973863,1.2978868953324854
2048,19200,84.83931549219415,1.9009158312436194
2048,20480,90.78578444006853,1.2581676182895898
2048,21760,94.707566175377,0.6579653677809983
2048,23040,101.71319686761126,0.8506240281369537
2048,24320,106.27163720931858,1.3734780409000813
2048,25600,111.53591610407457,1.0565552502777427
2048,26880,118.25372410039418,0.7248570748604835
2048,28160,124.1107962993905,1.12640275019221
2048,29440,129.6996500342153,0.6262665094528347
2048,30720,134.03736761962062,1.3569271866139025
2048,32000,141.0616096616257,0.9374978078342974
2048,33280,145.40778940981255,1.621047536758706
2048,34560,150.28241329006852,0.7529763810522855
2048,35840,155.90645191115328,0.949843712169677
2048,37120,160.84767641420476,0.4952500443998724
2048,38400,167.29521675324068,1.2406300677545368
2048,39680,172.19164006337525,0.9371121872309596
2048,40960,178.3048857237678,1.5485361889377236
2560,0,2.2943477492313833,2.2964986592158674
2560,1280,11.14204930961132,1.5168038486596196
2560,2560,21.040021870611234,1.8308262767642736
2560,3840,30.221382081368937,1.424408120037988
2560,5120,41.672890837630256,3.1112055110465735
2560,6400,49.2617713203188,1.0705704870820045
2560,7680,60.64192216168158,2.698809976456687
2560,8960,69.00457221055403,1.7350548683665692
2560,10240,78.18617932195775,1.3420643646735697
2560,11520,88.41691845017485,1.928048011334613
2560,12800,98.98653454803862,2.7051097993552684
2560,14080,108.47785232658498,2.562696522921324
2560,15360,117.34291724441573,2.0967291303444653
2560,16640,127.34955808380619,2.447937020258978
2560,17920,136.5753972781822,1.583780563659966
2560,19200,146.25758981704712,2.05625468715094
2560,20480,156.99622149979695,3.27960323096253
2560,21760,165.3443909243215,1.677094213590026
2560,23040,176.86254350054077,3.92872073254548
2560,24320,187.13389366990887,4.250803371369838
2560,25600,194.09480715333484,1.6267431283462792
2560,26880,204.8604442036245,2.7533723730035127
2560,28160,214.01518659247085,2.2700967040657996
2560,29440,225.15596893723122,3.534231430916116
2560,30720,233.05440350803548,1.8507286500465125
2560,32000,243.506494854996,2.07177942186594
2560,33280,253.46335021466948,2.6810434627346695
2560,34560,262.339710365003,1.937426165966317
