BITS,ITERATIONS,COMPUTATION,VERIFICATION
1024,0,0.08356341756880284,0.08438799529336392
3584,0,7.704406570224092,7.7027552049048245
1024,40960,24.20546943238005,0.11810126286000014
3584,40960,806.9624243181199,7.450984642161057
1024,20480,12.09360104026273,0.07570616384036839
3584,20480,413.28929336648434,14.75269430730492
1024,10240,6.129773853579536,0.09825770102441311
3584,10240,206.52201401344502,7.28867786578834
1024,30720,18.121558528766037,0.0713185307290405
3584,30720,604.9325499092229,6.567737337760628
1024,5120,3.191023292625323,0.12323798405006528
3584,5120,102.58727031149901,2.8833112782705577
1024,15360,9.139992778422311,0.11115154135040939
3584,15360,312.29660399942657,12.93900601964444
1024,25600,15.192895343760028,0.16879698597826065
3584,25600,507.01471413020045,7.814696504035965
1024,35840,21.237860241159797,0.1860634479485452
3584,35840,710.5420493250247,12.427290177680552
1024,2560,1.5433699856046588,0.036576726222410795
3584,2560,54.22996201552451,4.448615130782128
1024,7680,4.679074491839856,0.17172062118537723
3584,7680,153.10525834104047,3.429907093718648
1024,12800,7.590629715984687,0.09304103868082166
3584,12800,259.51351979859174,9.909322612639517
1024,17920,10.631381937861443,0.08849517181515694
3584,17920,358.2922683398239,8.531166331907734
1024,23040,13.623200943134725,0.0894140803348273
3584,23040,462.7122260812204,13.849658904150129
1024,28160,16.7632968198508,0.13114988937973976
3584,28160,555.5156403941568,6.349882834842429
1024,33280,19.949952686205506,0.052231738492846486
3584,33280,657.3108190294355,7.677200945951045
1024,38400,22.74557411344722,0.10806987977586686
3584,38400,754.8182517298497,5.651132685430348
1024,1280,0.8546591652557254,0.10203669079579412
3584,1280,34.58106665336527,9.197119398545475
1024,3840,2.364466048590839,0.07357791665941477
3584,3840,83.89870322938077,9.109214547146111
1024,6400,3.8617036833893508,0.10011733579449356
3584,6400,127.60384851819836,3.0036882288288327
1024,8960,5.366917188605294,0.08021446663886309
3584,8960,181.20564196445048,7.075410825125873
1024,11520,6.9866240243427455,0.1063982723467052
3584,11520,237.85635693115182,13.381471694139764
1024,14080,8.350053490744903,0.07172305965796114
3584,14080,284.44693270442076,10.768181807808578
1024,16640,9.931795840663835,0.10245307841338218
3584,16640,328.8812307317741,5.308539925673976
1024,19200,11.413437670329586,0.10813675057142973
3584,19200,381.06607010238804,7.471040645949542
1024,21760,12.862285000132397,0.11980705797672271
3584,21760,427.84977457262573,4.78455651415512
1024,24320,14.415712652634829,0.17078607553616165
3584,24320,482.504050635593,8.523215623786673
1024,26880,16.222527605621146,0.18283831669017672
3584,26880,528.4382794672623,6.060997000010684
1024,29440,17.406168873002752,0.1270630477927625
3584,29440,576.1515889238101,3.336482457304373
1024,32000,18.894143886771054,0.13067246405407787
3584,32000,637.1365742695518,13.977007825551555
1024,34560,20.75357077862136,0.10763266852125525
3584,34560,689.520373799745,15.420308416532352
1024,37120,21.993933850806208,0.1021375223249197
3584,37120,734.3129807269667,10.139070253297687
1024,39680,23.64274391797371,0.15820763288065792
3584,39680,781.3954839475919,7.545072324685752
