BITS,ITERATIONS,COMPUTATION,VERIFICATION,FACTOR
512,0,0.013646919559687377,0.01129456689581275,1.2082729409258464
512,1280,0.12529760599136353,0.01058277189731598,11.839771962120974
512,2560,0.250452197343111,0.022052150750532747,11.35726851210014
512,3840,0.3541097378358245,0.010397797459736466,34.05622577349179
512,5120,0.4670437390450388,0.013615452283993364,34.302477016801426
512,6400,0.5767650640569627,0.009462083401158452,60.95539846820086
512,7680,0.6963629305362702,0.01564718528650701,44.50403812478419
512,8960,0.8201320172287524,0.0221000518463552,37.10995896889766
512,10240,0.9248320533894002,0.007818993730470538,118.28018863672179
512,11520,1.0625236043706536,0.01760625249706209,60.34921994603646
512,12800,1.1554431206081062,0.012588297575712204,91.78708349232323
512,14080,1.2630432554055004,0.015101750334724783,83.63555398616768
512,15360,1.3879370430484415,0.01129668090492487,122.86237477446674
512,16640,1.5020217982120811,0.015130785033106805,99.26925767074168
512,17920,1.6234344015829265,0.0200266233086586,81.06381073643242
512,19200,1.7587506855838,0.02239314283244312,78.5396984578568
512,20480,1.8767103655729442,0.019542219340801237,96.03363532281378
512,21760,1.959153137402609,0.021483225459232928,91.19455275095184
512,23040,2.070028582541272,0.030134805580601096,68.69228264986143
512,24320,2.185476302821189,0.016525027360767126,132.25250737011396
512,25600,2.33941256897524,0.015117489844560622,154.7487442048441
512,26880,2.401989371748641,0.017207340793684123,139.59096879340476
512,28160,2.5251220191363246,0.018372445637360214,137.44071252013995
512,29440,2.65526385223493,0.019619420152157546,135.33854882775069
512,30720,2.758006918989122,0.02168424416333437,127.18944216891836
512,32000,2.8755847468040883,0.01796262212097645,160.0871369133813
512,33280,3.0427203648258,0.022577602583914995,134.76720362655027
512,34560,3.101594906952232,0.0208174926135689,148.9898406367443
512,35840,3.228151617804542,0.024080590568482874,134.0561648031011
512,37120,3.3416220940183847,0.02289496106095612,145.95447815445354
512,38400,3.4587494609411804,0.02970505414530635,116.43639644695588
512,39680,3.54425361729227,0.022057632813230157,160.6815040989543
512,40960,3.663576899887994,0.021500490764155986,170.3950360982288
1024,0,0.08356341756880284,0.08438799529336392,0.9902287319221822
1024,1280,0.8546591652557254,0.10203669079579412,8.375998462809358
1024,2560,1.5433699856046588,0.036576726222410795,42.19541071609154
1024,3840,2.364466048590839,0.07357791665941477,32.135539519768265
1024,5120,3.191023292625323,0.12323798405006528,25.893179908955453
1024,6400,3.8617036833893508,0.10011733579449356,38.57177833133814
1024,7680,4.679074491839856,0.17172062118537723,27.24818055944873
1024,8960,5.366917188605294,0.08021446663886309,66.90709810199097
1024,10240,6.129773853579536,0.09825770102441311,62.38466593123864
1024,11520,6.9866240243427455,0.1063982723467052,65.66482584958156
1024,12800,7.590629715984687,0.09304103868082166,81.58367343709939
1024,14080,8.350053490744903,0.07172305965796114,116.42076524015191
1024,15360,9.139992778422311,0.11115154135040939,82.23001379358422
1024,16640,9.931795840663835,0.10245307841338218,96.93994552892387
1024,17920,10.631381937861443,0.08849517181515694,120.13516353262294
1024,19200,11.413437670329586,0.10813675057142973,105.54633471060738
1024,20480,12.09360104026273,0.07570616384036839,159.74394193005094
1024,21760,12.862285000132397,0.11980705797672271,107.3583244372081
1024,23040,13.623200943134725,0.0894140803348273,152.36080147690575
1024,24320,14.415712652634829,0.17078607553616165,84.40800930274024
1024,25600,15.192895343760028,0.16879698597826065,90.00691129471187
1024,26880,16.222527605621146,0.18283831669017672,88.72608269037256
1024,28160,16.7632968198508,0.13114988937973976,127.81784947841841
1024,29440,17.406168873002752,0.1270630477927625,136.98844137118365
1024,30720,18.121558528766037,0.0713185307290405,254.09326781583627
1024,32000,18.894143886771054,0.13067246405407787,144.59162474315818
1024,33280,19.949952686205506,0.052231738492846486,381.9507690508482
1024,34560,20.75357077862136,0.10763266852125525,192.81851006530562
1024,35840,21.237860241159797,0.1860634479485452,114.14310803824837
1024,37120,21.993933850806208,0.1021375223249197,215.33647331721193
1024,38400,22.74557411344722,0.10806987977586686,210.47098563097083
1024,39680,23.64274391797371,0.15820763288065792,149.44123420270336
1024,40960,24.20546943238005,0.11810126286000014,204.95521255410918
1536,0,0.2740862833801657,0.26409105730243027,1.0378476506544074
1536,1280,2.6853586583398283,0.27031788187101485,9.934077019814682
1536,2560,5.269839631393552,0.4237245805840939,12.436945772957538
1536,3840,7.5221252566669135,0.2584555572923273,29.10413432572851
1536,5120,10.095887676393613,0.4075804203096777,24.770296052795675
1536,6400,12.435927635524422,0.3557198205124587,34.959895171455216
1536,7680,14.965759326564148,0.44328107428736985,33.76133156738869
1536,8960,17.29580930136144,0.36707541668787597,47.11786329202224
1536,10240,19.715528677636758,0.3480134944524616,56.651621250077376
1536,11520,21.95739152985625,0.23962215051054955,91.63339650809769
1536,12800,24.949059006990865,0.41254098193719985,60.476558934425576
1536,14080,26.85142181003466,0.2875861601252109,93.36826848115341
1536,15360,29.502332046255468,0.2574169757962227,114.60911602663768
1536,16640,32.41588689181954,0.5082131322473288,63.78404026766453
1536,17920,34.86253266199492,0.5243033335916698,66.49305931963814
1536,19200,36.98561585647985,0.575118779912591,64.30952552462482
1536,20480,39.26376938344911,0.5276976110227406,74.40581227447906
1536,21760,42.34868512675166,0.586551854107529,72.19938839199055
1536,23040,43.84509889101609,0.42312056965194644,103.62317985883435
1536,24320,46.146362943388525,0.23082377763465048,199.92031763915293
1536,25600,49.04210817385465,0.6684098955709488,73.37130778407072
1536,26880,51.018563529662785,0.26033046235330404,195.9761568756545
1536,28160,54.34627062561922,0.4149689264781773,130.96467508267085
