BITS,ITERATIONS,COMPUTATION,VERIFICATION
512,2000,0.19486327171325685,0.0015266895294189452
512,4000,0.3715966701507568,0.004114389419555664
512,6000,0.544297170639038,0.0017485618591308594
512,8000,0.7361443996429443,0.008381032943725586
512,10000,0.8963322162628173,0.006238126754760742
512,12000,1.0724773406982422,0.012361288070678711
512,14000,1.2266771793365479,0.005807399749755859
512,16000,1.3822569370269775,0.012628936767578125
512,18000,1.5578381538391113,0.007449531555175781
512,20000,1.7067046642303467,0.010673332214355468
512,22000,1.9071414470672607,0.00812978744506836
512,24000,2.073569631576538,0.0024266719818115236
512,26000,2.219908428192139,0.006778812408447266
512,28000,2.39024658203125,0.011533832550048828
512,30000,2.5582080841064454,0.006685829162597657
512,32000,2.709733247756958,0.004041528701782227
512,34000,2.8649500370025636,0.004782962799072266
512,36000,3.065268087387085,0.008467388153076173
512,38000,3.225482130050659,0.004178142547607422
512,40000,3.382220983505249,0.010182571411132813
1024,2000,1.2984564304351807,0.019585943222045897
1024,4000,2.270070123672485,0.020569229125976564
1024,6000,3.37235803604126,0.005293083190917969
1024,8000,4.497943973541259,0.03128066062927246
1024,10000,5.560361099243164,0.014142656326293945
1024,12000,6.7928650856018065,0.017354488372802734
1024,14000,7.805299997329712,0.03895039558410644
1024,16000,8.932392930984497,0.02273273468017578
1024,18000,10.026914501190186,0.09752016067504883
1024,20000,11.092113924026489,0.02178792953491211
1024,22000,12.150431919097901,0.016346549987792967
1024,24000,13.213004112243652,0.008169889450073242
1024,26000,14.452252054214478,0.025332927703857422
1024,28000,15.755826139450074,0.04133753776550293
1024,30000,16.86791863441467,0.010725831985473633
1024,32000,17.724187898635865,0.019877815246582033
1024,34000,18.816339111328126,0.03907861709594727
1024,36000,19.91871018409729,0.01552119255065918
1024,38000,21.00635290145874,0.023318910598754884
1024,40000,22.15933232307434,0.05699610710144043
1536,2000,3.8507351875305176,0.00987710952758789
1536,4000,7.400563716888428,0.08820409774780273
1536,6000,11.184540271759033,0.19160356521606445
1536,8000,14.690601015090943,0.057544279098510745
1536,10000,18.11886558532715,0.13063864707946776
1536,12000,21.569038915634156,0.16349620819091798
1536,14000,24.988690423965455,0.09036164283752442
1536,16000,29.41254668235779,0.14778590202331543
1536,18000,32.63346300125122,0.08869376182556152
1536,20000,36.14344434738159,0.12808690071105958
1536,22000,39.091860914230345,0.053397846221923825
1536,24000,43.49078316688538,0.13969731330871582
1536,26000,46.24565062522888,0.09953265190124512
1536,28000,49.7367000579834,0.06356186866760254
1536,30000,54.58207426071167,0.06404533386230468
1536,32000,56.528984212875365,0.13468074798583984
1536,34000,60.32469396591186,0.13203177452087403
1536,36000,64.67812070846557,0.03206319808959961
1536,38000,68.1373188495636,0.03542914390563965
1536,40000,71.98282995224,0.07625627517700195
2048,2000,8.654190349578858,0.05674829483032227
2048,4000,17.34025616645813,0.46434893608093264
2048,6000,26.193706846237184,0.5766411304473877
2048,8000,32.67712616920471,0.13785009384155272
2048,10000,40.82405290603638,0.044368410110473634
2048,12000,50.237003803253174,0.11710538864135742
2048,14000,57.15413489341736,0.2455885410308838
2048,16000,65.5918743133545,0.17632102966308594
2048,18000,74.83638172149658,0.6868430614471436
2048,20000,81.32368874549866,0.14071965217590332
2048,22000,90.89265871047974,0.10587148666381836
2048,24000,98.58744683265687,0.285111665725708
2048,26000,107.5806987285614,0.215932035446167
2048,28000,114.10998878479003,0.12533121109008788
2048,30000,123.07171454429627,0.12324910163879395
2048,32000,131.5822346687317,0.7032160282135009
2048,34000,138.19598989486695,0.19643206596374513
2048,36000,147.88497915267945,0.2856257915496826
2048,38000,155.09947037696838,0.1987579345703125
2048,40000,162.07657461166383,0.16509127616882324
2560,2000,15.685690259933471,0.19829535484313965
2560,4000,29.980571603775026,0.2711151599884033
2560,6000,44.00295476913452,0.24216794967651367
2560,8000,57.73842558860779,0.7575489521026612
2560,10000,72.88626666069031,0.9057499885559082
2560,12000,84.85932083129883,0.07986922264099121
2560,14000,101.24730019569397,1.1612818241119385
2560,16000,113.96772446632386,0.48526439666748045
2560,18000,129.26404266357423,0.11393332481384277
2560,20000,142.25537915229796,0.9472781181335449
2560,22000,156.05923013687135,0.13949851989746093
2560,24000,170.4750437259674,0.08663396835327149
2560,26000,184.42860498428345,0.9505418300628662
2560,28000,199.99541101455688,0.2625112056732178
2560,30000,213.12784523963927,0.5014670372009278
2560,32000,226.57083263397217,0.39662775993347166
2560,34000,239.46198287010193,0.10543298721313477
2560,36000,255.6440839767456,0.13461747169494628
2560,38000,269.0962787151337,0.5818115234375
2560,40000,283.0410869598389,1.0010058403015136
3072,2000,27.17817850112915,0.1904304027557373
3072,4000,51.13732209205627,1.0016022205352784
3072,6000,74.1419912815094,0.1377021312713623
3072,8000,98.41743893623352,0.9526963233947754
3072,10000,121.35964198112488,0.6267332553863525
3072,12000,142.87087688446044,0.21049261093139648
3072,14000,166.86020159721375,0.4418498516082764
3072,16000,191.76263723373413,0.8260009765625
3072,18000,215.14691724777222,0.9537261009216309
3072,20000,241.87619800567626,0.23655133247375487
3072,22000,262.08965787887576,0.3954554557800293
3072,24000,286.5768030166626,2.167724943161011
3072,26000,310.7037693977356,0.08969454765319824
3072,28000,333.516672706604,0.2896073818206787
3072,30000,358.3746735572815,1.1734670639038085
3072,32000,382.69188890457156,0.24393787384033203
3072,34000,405.28812742233276,0.6096689701080322
3072,36000,425.84455676078795,0.28525118827819823
3072,38000,450.1705069065094,0.6993040561676025
3072,40000,472.64676308631897,0.2744304180145264
