LEAVES,BUILD
10000,0.017677719099447133
50000,0.07005101349204779
90000,0.1266385897062719
130000,0.18523247980047017
170000,0.243355249078013
210000,0.29999462589621545
250000,0.3561383774969727
290000,0.40838651529047637
330000,0.4624658912885934
370000,0.5176177117042243
410000,0.5778592402115464
450000,0.6369582719868049
490000,0.6830198809038848
530000,0.7384410144994036
570000,0.7973720049019903
610000,0.8521592445904389
650000,0.905230553401634
690000,0.9626301125157625
730000,1.0317693493096158
770000,1.087593568698503
810000,1.1419224574929103
850000,1.1961353356949984
890000,1.2565267442027106
930000,1.3148135021096095
970000,1.3810573163907975
1010000,1.4227465487085282
1050000,1.478506443486549
1090000,1.5389255721122026
1130000,1.600729464692995
1170000,1.6571275264024734
1210000,1.7098677797010169
1250000,1.7703421537997202
1290000,1.8070511322002858
1330000,1.8820657480042429
1370000,1.9358816880965606
1410000,1.988165543600917
1450000,2.04776680811774
1490000,2.1023380090948196
1530000,2.151238170196302
1570000,2.2051500917878
1610000,2.259072335017845
1650000,2.3183697682805358
1690000,2.3811689354944976
1730000,2.4291459032101557
1770000,2.47827116670087
1810000,2.5481334301875904
1850000,2.6063121400075033
1890000,2.6849908425007016
1930000,2.7183065976947547
1970000,2.7805514921899883
2010000,2.826964228693396
2050000,2.894965045992285
2090000,2.932722146483138
2130000,2.992959911795333
2170000,3.0391341666923837
2210000,3.105600472097285
