BITS,ITERATIONS,COMPUTATION,VERIFICATION
2048,0,0.9423109621740877,0.9440458262618631
2560,0,2.2943477492313833,2.2964986592158674
2048,40960,178.3048857237678,1.5485361889377236
2560,40960,309.9420346118044,1.6285758351814001
2048,20480,90.78578444006853,1.2581676182895898
2560,20480,156.99622149979695,3.27960323096253
2048,10240,46.26316081979312,0.7374368355795741
2560,10240,78.18617932195775,1.3420643646735697
2048,30720,134.03736761962062,1.3569271866139025
2560,30720,233.05440350803548,1.8507286500465125
2048,5120,22.912328674132006,0.8000225992221385
2560,5120,41.672890837630256,3.1112055110465735
2048,15360,67.07360476534814,0.9196780190803111
2560,15360,117.34291724441573,2.0967291303444653
2048,25600,111.53591610407457,1.0565552502777427
2560,25600,194.09480715333484,1.6267431283462792
2048,35840,155.90645191115328,0.949843712169677
2560,35840,273.13476067404264,2.925256723705679
2048,2560,12.988958765380085,1.924315782263875
2560,2560,21.040021870611234,1.8308262767642736
2048,7680,34.46418722760863,0.8872044117003679
2560,7680,60.64192216168158,2.698809976456687
2048,12800,56.370969392266126,0.43054630994796755
2560,12800,98.98653454803862,2.7051097993552684
2048,17920,79.78848083973863,1.2978868953324854
2560,17920,136.5753972781822,1.583780563659966
2048,23040,101.71319686761126,0.8506240281369537
2560,23040,176.86254350054077,3.92872073254548
2048,28160,124.1107962993905,1.12640275019221
2560,28160,214.01518659247085,2.2700967040657996
2048,33280,145.40778940981255,1.621047536758706
2560,33280,253.46335021466948,2.6810434627346695
2048,38400,167.29521675324068,1.2406300677545368
2560,38400,290.63787206541747,1.3823387026228011
2048,1280,6.421012145839631,0.8849228742532432
2560,1280,11.14204930961132,1.5168038486596196
2048,3840,17.340232870401813,0.7929799222107977
2560,3840,30.221382081368937,1.424408120037988
2048,6400,30.110958196269348,2.1479093588050455
2560,6400,49.2617713203188,1.0705704870820045
2048,8960,40.43565271538682,1.245122737698257
2560,8960,69.00457221055403,1.7350548683665692
2048,11520,51.23101818957366,1.393785880850628
2560,11520,88.41691845017485,1.928048011334613
2048,14080,62.26263823062182,1.427964233495295
2560,14080,108.47785232658498,2.562696522921324
2048,16640,72.57893270826898,0.7672743480559439
2560,16640,127.34955808380619,2.447937020258978
2048,19200,84.83931549219415,1.9009158312436194
2560,19200,146.25758981704712,2.05625468715094
2048,21760,94.707566175377,0.6579653677809983
2560,21760,165.3443909243215,1.677094213590026
2048,24320,106.27163720931858,1.3734780409000813
2560,24320,187.13389366990887,4.250803371369838
2048,26880,118.25372410039418,0.7248570748604835
2560,26880,204.8604442036245,2.7533723730035127
2048,29440,129.6996500342153,0.6262665094528347
2560,29440,225.15596893723122,3.534231430916116
2048,32000,141.0616096616257,0.9374978078342974
2560,32000,243.506494854996,2.07177942186594
2048,34560,150.28241329006852,0.7529763810522855
2560,34560,262.339710365003,1.937426165966317
2048,37120,160.84767641420476,0.4952500443998724
2560,37120,280.3114794912748,1.1476344611123204
2048,39680,172.19164006337525,0.9371121872309596
2560,39680,301.7240513818339,3.887124495878816
